case_num,metric,original_judgement,ground_truth,locknkey
44,proposed,33.3333,33.3333,33.3333
45,flesch,40.0181,39.8194,37.2501
45,fog,19.1796,18.3279,19.0244
45,smog,15.6742,15.3346,15.8044
45,proposed,33.3334,33.3333,33.3333
46,flesch,52.8715,51.24,52.4804
46,fog,16.1567,15.9508,15.6604
46,smog,13.5145,13.5227,13.2817
46,proposed,33.3333,33.3333,33.3333
47,flesch,47.001,51.0188,46.0319
47,fog,15.9646,14.8014,16.3548
47,smog,13.8012,13.0658,13.924
47,proposed,33.3334,33.3333,33.3333
48,flesch,50.8002,54.7908,54.8349
48,fog,15.1196,13.7797,13.7556
48,smog,13.3158,12.4088,12.389
48,proposed,33.3333,33.3333,33.3333
49,flesch,45.8102,49.7205,49.4295
49,fog,16.19,14.272,14.7587
49,smog,14.0104,12.7321,13.1043
49,proposed,33.3334,33.3333,33.3333
50,flesch,32.4041,31.1355,31.7691
50,fog,21.4333,20.5558,20.3599
50,smog,17.2987,16.9958,16.8606
50,proposed,33.3333,33.3334,33.3334
